station_id,station_name,timestamp,temperature,pressure,humidity,label,fault_type
AWS-004,Kolkata Alipore,2026-08-01 00:00:00,25.26,1009.99,87.6,normal,none
AWS-004,Kolkata Alipore,2026-08-01 00:10:00,24.22,1009.98,88.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 00:20:00,25.16,1009.82,87.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 00:30:00,24.45,1010.09,89.8,normal,none
AWS-004,Kolkata Alipore,2026-08-01 00:40:00,24.76,1010.22,88.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 00:50:00,24.07,1009.84,89.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 01:00:00,23.33,1010.31,89.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 01:10:00,24.37,1010.21,88.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 01:20:00,23.64,1010.74,89.1,normal,none
AWS-004,Kolkata Alipore,2026-08-01 01:30:00,24.4,1009.96,89.8,normal,none
AWS-004,Kolkata Alipore,2026-08-01 01:40:00,23.9,1010.33,89.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 01:50:00,24.05,1010.46,90.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 02:00:00,24.04,1010.96,87.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 02:10:00,23.65,1010.52,89.4,normal,none
AWS-004,Kolkata Alipore,2026-08-01 02:20:00,24.2,1010.58,90.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 02:30:00,23.87,1010.96,89.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 02:40:00,24.5,1010.66,88.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 02:50:00,24.64,1010.74,88.8,normal,none
AWS-004,Kolkata Alipore,2026-08-01 03:00:00,24.64,1011.06,88.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 03:10:00,24.2,1011.15,90.5,normal,none
AWS-004,Kolkata Alipore,2026-08-01 03:20:00,24.9,1010.9,86.8,normal,none
AWS-004,Kolkata Alipore,2026-08-01 03:30:00,24.57,1011.08,90.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 03:40:00,24.46,1011.05,87.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 03:50:00,24.58,1011.05,86.1,normal,none
AWS-004,Kolkata Alipore,2026-08-01 04:00:00,24.86,1011.4,89.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 04:10:00,25.04,1011.13,90.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 04:20:00,25.0,1011.31,89.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 04:30:00,24.77,1011.61,86.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 04:40:00,25.16,1011.36,87.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 04:50:00,24.95,1011.7,86.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 05:00:00,25.84,1011.91,86.1,normal,none
AWS-004,Kolkata Alipore,2026-08-01 05:10:00,25.18,1011.67,88.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 05:20:00,25.99,1011.7,85.1,normal,none
AWS-004,Kolkata Alipore,2026-08-01 05:30:00,25.67,1011.64,83.8,normal,none
AWS-004,Kolkata Alipore,2026-08-01 05:40:00,25.86,1011.96,83.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 05:50:00,27.1,1012.26,85.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 06:00:00,26.44,1012.14,85.1,normal,none
AWS-004,Kolkata Alipore,2026-08-01 06:10:00,27.22,1012.37,83.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 06:20:00,27.3,1011.95,85.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 06:30:00,27.39,1012.34,82.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 06:40:00,27.9,1012.42,83.4,normal,none
AWS-004,Kolkata Alipore,2026-08-01 06:50:00,27.74,1012.16,81.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 07:00:00,28.34,1012.52,81.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 07:10:00,28.73,1012.43,81.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 07:20:00,28.66,1012.63,79.1,normal,none
AWS-004,Kolkata Alipore,2026-08-01 07:30:00,28.81,1012.24,79.4,normal,none
AWS-004,Kolkata Alipore,2026-08-01 07:40:00,29.33,1012.26,79.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 07:50:00,29.39,1013.01,80.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 08:00:00,29.72,1012.48,78.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 08:10:00,30.4,1013.08,77.6,normal,none
AWS-004,Kolkata Alipore,2026-08-01 08:20:00,30.6,1012.49,78.5,normal,none
AWS-004,Kolkata Alipore,2026-08-01 08:30:00,30.32,1012.56,78.7,normal,none
AWS-004,Kolkata Alipore,2026-08-01 08:40:00,30.88,1012.39,75.6,normal,none
AWS-004,Kolkata Alipore,2026-08-01 08:50:00,31.9,1012.13,76.2,normal,none
AWS-004,Kolkata Alipore,2026-08-01 09:00:00,31.62,1012.5,76.5,normal,none
AWS-004,Kolkata Alipore,2026-08-01 09:10:00,32.01,1012.8,76.8,normal,none
AWS-004,Kolkata Alipore,2026-08-01 09:20:00,31.37,1012.22,75.4,normal,none
AWS-004,Kolkata Alipore,2026-08-01 09:30:00,32.58,1011.95,75.8,normal,none
AWS-004,Kolkata Alipore,2026-08-01 09:40:00,32.49,1012.58,73.0,normal,none
AWS-004,Kolkata Alipore,2026-08-01 09:50:00,32.76,1012.74,74.4,normal,none
AWS-004,Kolkata Alipore,2026-08-01 10:00:00,32.71,1012.31,72.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 10:10:00,32.89,1012.11,73.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 10:20:00,33.52,1012.17,73.7,normal,none
AWS-004,Kolkata Alipore,2026-08-01 10:30:00,33.66,1012.0,72.5,normal,none
AWS-004,Kolkata Alipore,2026-08-01 10:40:00,34.18,1012.07,70.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 10:50:00,34.6,1012.12,72.5,normal,none
AWS-004,Kolkata Alipore,2026-08-01 11:00:00,34.46,1012.64,68.3,normal,none
AWS-004,Kolkata Alipore,2026-08-01 11:10:00,34.47,1011.83,68.9,normal,none
AWS-004,Kolkata Alipore,2026-08-01 11:20:00,35.27,1012.29,68.4,normal,none
AWS-004,Kolkata Alipore,2026-08-01 11:30:00,35.02,1011.76,70.5,normal,none
AWS-004,Kolkata Alipore,2026-08-01 11:40:00,36.08,1012.17,67.6,normal,none
